"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10595","sauce demo test - performance_glitch_user","webkit","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","2471","sauce demo test - visual_user","chromium","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","21256","sauce demo test - standard_user","firefox","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","7347","sauce demo test - performance_glitch_user","chromium","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","8311","validate add to cart sauce demo test-visual_user","webkit","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","904","sauce demo test - standard_user","webkit","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","8917","validate add to cart sauce demo test-visual_user","firefox","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","1127","sauce demo test - visual_user","webkit","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","18657","validate add to cart sauce demo test-performance_glitch_user","firefox","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","28955","validate add to cart sauce demo test-performance_glitch_user","webkit","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","6562","validate add to cart sauce demo test-standard_user","firefox","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","11978","sauce demo test - performance_glitch_user","firefox","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","8757","validate add to cart sauce demo test-standard_user","webkit","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","7671","validate add to cart sauce demo test-standard_user","chromium","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","2145","sauce demo test - standard_user","chromium","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","5944","validate add to cart sauce demo test-visual_user","chromium","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","15994","validate add to cart sauce demo test-performance_glitch_user","chromium","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
"","4231","sauce demo test - visual_user","firefox","2026-09-15","passed","2026-09-15","","SauceDemoValidation.spec.js","",""
